"area","Area","Est","Est.km"
"Grenada",542,541540186.47717,541.54018647717
"Vanuatu",70823,70823848338.0293,70823.8483380293
"Jamaica",22054,22029251005.0074,22029.2510050074
"Marshall Islands",108571,108577347492.983,108577.347492983
"Indonesia",3093688,3093877237251.51,3093877.23725151
"Papua New Guinea",586013,585970604248.885,585970.604248885
"Solomon Islands",129074,129096484512.409,129096.484512409
"Republic of Mauritius",1329,1328618765.79652,1328.61876579652
"Tuvalu",3857,3857670688.42392,3857.67068842392
"Bahamas",236719,236667766180.295,236667.766180295
"Maldives",71545,71546487520.7692,71546.4875207692
"Saint Vincent and the Grenadines",1471,1472158241.3704,1472.1582413704
"Antigua and Barbuda",3188,3191628398.61332,3191.62839861332
"Gilbert Islands",30631,30631618784.291,30631.618784291
"Sao Tome and Principe",3869,3869746518.67961,3869.74651867961
"Seychelles",8559,8559258513.54463,8559.25851354463
"Cape Verde",35902,35927203886.3099,35927.2038863099
"Philippines",591255,591370310533.593,591370.310533593
"Fiji",150124,150167740861.222,150167.740861222
"Dominican Republic",49829,49824819911.4307,49824.8199114307
"Trinidad and Tobago",7151,7153536884.61316,7153.53688461316
"Comores",12619,12619053588.6121,12619.0535886121
