"","eez","Nsamps","Nsamps/sum(Nsamps)"
"1","Cook Islands",33,0.0169927909371782
"2","Fiji",4,0.00205973223480947
"3","French Polynesia",202,0.104016477857878
"4","Gilbert Islands",38,0.01956745623069
"5","Guam",4,0.00205973223480947
"6","Hawaii",137,0.0705458290422245
"7","Howland and Baker islands",144,0.0741503604531411
"8","Indonesia",13,0.00669412976313079
"9","Japan",67,0.0345005149330587
"10","Jarvis Island",53,0.0272914521112255
"11","Johnston Atoll",220,0.113285272914521
"12","Line Group",174,0.0895983522142122
"13","Marshall Islands",253,0.130278063851699
"14","Micronesia",113,0.0581874356333677
"15","Nauru",20,0.0102986611740474
"16","Northern Mariana Islands",66,0.0339855818743563
"17","Palau",24,0.0123583934088568
"18","Palmyra Atoll",130,0.0669412976313079
"19","Papua New Guinea",35,0.0180226570545829
"20","Philippines",56,0.0288362512873326
"21","Phoenix Group",68,0.0350154479917611
"22","Solomon Islands",27,0.013903192584964
"23","Tokelau",7,0.00360453141091658
"24","Tuvalu",21,0.0108135942327497
"25","Vanuatu",2,0.00102986611740474
"26","Wake Island",31,0.0159629248197734
